overall_rank,amfi_code,scheme_name,fund_house,expense_ratio_pct,cagr_3yr_pct,sharpe_ratio,alpha_annual_pct,beta,max_drawdown_pct,rank_3yr_return,rank_sharpe,rank_alpha,rank_expense_inv,rank_max_dd_inv,fund_score
23,100024,Kotak MF ELSS Fund - Direct Growth,Kotak MF,0.72,15.88,0.158,-3.983,1.235,-38.34,61.53846153846154,30.76923076923077,20.51282051282051,79.48717948717949,41.02564102564102,46.28
24,100038,Franklin Templeton Flexi Cap Fund - Direct Growth,Franklin Templeton,0.58,8.42,0.081,-1.816,0.876,-36.41,38.46153846153847,25.64102564102564,30.76923076923077,89.74358974358975,46.15384615384615,42.18
25,100012,HDFC MF Small Cap Fund - Direct Growth,HDFC MF,1.76,15.79,0.21,2.065,0.814,-33.09,58.97435897435898,33.33333333333333,43.58974358974359,3.8461538461538463,51.28205128205128,40.45
26,100022,HDFC MF Small Cap Fund - Direct Growth,HDFC MF,1.13,14.31,0.226,-0.904,1.113,-50.43,53.84615384615385,38.46153846153847,33.33333333333333,46.15384615384615,7.6923076923076925,40.13
27,100026,UTI MF Mid Cap Fund - Direct Growth,UTI MF,1.74,2.31,0.358,3.647,0.857,-27.83,25.64102564102564,48.717948717948715,48.717948717948715,7.6923076923076925,64.1025641025641,37.18
28,100018,Franklin Templeton Flexi Cap Fund - Direct Growth,Franklin Templeton,1.33,6.09,0.214,2.277,0.778,-43.48,33.33333333333333,35.8974358974359,46.15384615384615,30.76923076923077,25.64102564102564,35.38
29,100020,SBI MF Large Cap Fund - Direct Growth,SBI MF,1.06,-2.26,0.266,1.898,0.847,-40.91,17.94871794871795,43.58974358974359,41.02564102564102,48.717948717948715,30.76923076923077,34.87
30,100000,SBI MF Large Cap Fund - Direct Growth,SBI MF,1.54,11.25,0.079,-3.497,0.987,-27.45,41.02564102564102,23.076923076923077,25.64102564102564,17.94871794871795,71.7948717948718,33.08
31,100031,ICICI Prudential Mid Cap Fund - Direct Growth,ICICI Prudential,0.53,1.77,0.138,-4.33,1.249,-47.45,23.076923076923077,28.205128205128204,17.94871794871795,96.15384615384616,10.256410256410255,33.01
32,100029,DSP MF ELSS Fund - Direct Growth,DSP MF,1.32,2.48,-0.136,-10.626,1.205,-38.36,28.205128205128204,10.256410256410255,2.564102564102564,33.33333333333333,38.46153846153847,20.38
33,100003,Axis MF Flexi Cap Fund - Direct Growth,Axis MF,1.6,2.56,0.075,-5.158,1.205,-56.37,30.76923076923077,20.51282051282051,15.384615384615385,12.82051282051282,2.564102564102564,19.62
34,100001,ICICI Prudential Mid Cap Fund - Direct Growth,ICICI Prudential,1.02,-4.74,-0.376,-9.316,0.7,-35.52,10.256410256410255,5.128205128205128,10.256410256410255,53.84615384615385,48.717948717948715,19.36
35,100005,Nippon India Large Cap Fund - Direct Growth,Nippon India,0.95,-2.33,-0.197,-9.766,0.907,-45.57,15.384615384615385,7.6923076923076925,7.6923076923076925,56.41025641025641,17.94871794871795,18.33
36,100014,Kotak MF ELSS Fund - Direct Growth,Kotak MF,1.16,-7.65,0.026,-6.231,1.138,-46.33,7.6923076923076925,15.384615384615385,12.82051282051282,43.58974358974359,15.384615384615385,16.79
37,100025,Nippon India Large Cap Fund - Direct Growth,Nippon India,1.76,-2.36,0.04,-3.906,0.955,-45.34,12.82051282051282,17.94871794871795,23.076923076923077,3.8461538461538463,20.51282051282051,15.58
38,100015,Nippon India Large Cap Fund - Direct Growth,Nippon India,1.55,-15.56,-0.018,-3.152,0.782,-52.55,0.0,12.82051282051282,28.205128205128204,15.384615384615385,5.128205128205128,11.67
39,100021,ICICI Prudential Mid Cap Fund - Direct Growth,ICICI Prudential,1.43,-9.06,-0.387,-9.911,0.766,-46.61,5.128205128205128,2.564102564102564,5.128205128205128,23.076923076923077,12.82051282051282,7.95
40,100034,Kotak MF ELSS Fund - Direct Growth,Kotak MF,1.81,-9.25,-0.837,-21.316,0.957,-61.8,2.564102564102564,0.0,0.0,0.0,0.0,0.77
