amfi_code,CAGR_3Y,Sharpe,Alpha,ExpenseRatio,MaxDD,score,scheme_name
102887,0.26212376157937856,0.6195175900829828,0.17028062149967055,1.64,-0.21539827112383225,55.32051282051281,UTI Flexi Cap Fund - Regular - Growth
119093,0.19927376280644427,0.12961449795669325,0.07630542153058224,0.75,-0.21751396370148224,54.358974358974365,Axis Bluechip Fund - Direct - Growth
118635,0.16656645561983252,0.6648569985490619,0.14638386739578116,0.89,-0.1165062450540909,52.17948717948718,Nippon India ETF Nifty 50 BeES
148568,0.13526654355414114,0.9262873467360146,0.21663095690565418,1.52,-0.1527259422823477,51.98717948717948,Mirae Asset Emerging Bluechip Fund - Regular - Growth
120503,0.14693231522347006,0.7979728586052847,0.18052601213442054,1.42,-0.13897862823061635,51.28205128205129,ICICI Pru Bluechip Fund - Regular - Growth
125498,0.12564556862743115,0.3006119210425478,0.10910843510236296,0.78,-0.21117279560132118,46.92307692307693,HDFC Mid-Cap Opportunities Fund - Direct - Growth
120841,0.16446665078408862,0.49427253786723496,0.13267496816937002,1.59,-0.1757361416468729,42.43589743589744,Kotak Bluechip Fund - Regular - Growth
118634,0.08599903481542981,0.4484340089089914,0.16611904304761343,1.53,-0.2334488614483311,42.243589743589745,Nippon India Small Cap Fund - Regular - Growth
149322,0.1661251630174072,0.4640374492204777,0.12410049611561998,1.54,-0.14844576917771746,41.34615384615385,DSP Top 100 Equity Fund - Regular - Growth
120507,0.07063476974031735,0.4957233929533124,0.06773561943908171,0.74,-0.0009773140045925555,39.35897435897436,ICICI Pru Liquid Fund - Regular - Growth
119599,0.0018484664592763878,-0.05718662582817997,0.05459725528163481,0.72,-0.5257422117012851,35.44871794871794,SBI Small Cap Fund - Direct Plan - Growth
120842,0.09896111385771578,0.07599984804658917,0.07309809685660276,1.56,-0.24003511326274884,34.87179487179487,Kotak Emerging Equity Fund - Regular - Growth
120844,0.06555138646928649,-0.08874729621557331,0.0644821011941366,0.6,-0.0011629327956168556,32.30769230769231,Kotak Liquid Fund - Regular - Growth
101207,-0.0315942467620105,0.1626607692864677,0.10898633188567367,1.53,-0.3544691649336603,30.961538461538463,ABSL Small Cap Fund - Regular - Growth
119095,-0.11218962208312377,-0.07597357117478923,0.05913431719208828,1.38,-0.5167775370852656,28.076923076923077,Axis Small Cap Fund - Regular - Growth
119120,0.055578076192641435,-0.22657538662791596,0.05852881516883649,0.77,-0.04328728923970093,25.769230769230766,SBI Magnum Gilt Fund - Regular Plan - Growth
118636,0.042117574166855354,-0.356629507514368,0.05232070249166158,0.55,-0.08316361763638702,25.384615384615383,Nippon India Gilt Securities Fund - Regular - Growth
101208,0.06080205049018561,-0.8155673679088278,0.06087928984400977,0.79,-0.0016224980244717857,24.358974358974358,ABSL Liquid Fund - Regular - Growth
100025,0.047718251695277436,-0.5670947928476847,0.04290718931731745,0.56,-0.04308263824636349,24.1025641025641,HDFC Short Term Debt Fund - Regular - Growth
102886,-0.01993645366016883,-0.20583160785470314,0.022707384078567778,1.51,-0.2800112356639287,20.705128205128204,UTI Mid Cap Fund - Regular - Growth
100016,0.0015935656456500524,-0.2015170675596694,0.0536916950152335,1.55,-0.24734440880673303,20.51282051282051,HDFC Top 100 Fund - Regular Plan - Growth
119092,0.006093199259856963,0.030784850954585913,0.06768262457925889,1.64,-0.1440161790933726,20.32051282051282,Axis Bluechip Fund - Regular - Growth
